2021-08-18 18:33:24 [timer-logging.smx]               INFO | Logging started
2021-08-18 18:33:25 [timer-worldrecord.smx]           ERROR | SQL Error on RefreshCache: Table 'sql11431580.round' doesn't exist
2021-08-18 18:33:25 [timer-worldrecord.smx]           ERROR | SQL Error on RefreshCache: Table 'sql11431580.round' doesn't exist
2021-08-18 18:38:50 [timer-logging.smx]               INFO | Logging started
2021-08-18 18:41:00 [timer-logging.smx]               INFO | Logging started
2021-08-18 18:42:23 [timer-logging.smx]               INFO | Logging started
2021-08-18 19:31:23 [timer-logging.smx]               INFO | Logging started
2021-08-18 19:48:02 [timer-logging.smx]               INFO | Logging started
2021-08-18 20:05:37 [timer-logging.smx]               INFO | Logging started
2021-08-18 20:17:27 [timer-logging.smx]               INFO | Logging started
2021-08-18 20:27:00 [timer-logging.smx]               INFO | Logging started
